"Date","sp_500","sp500_qq_change","gdp_growth_rate","gdp","cum_inflation","housing_start","unempl_rate","senate","house","president"
2014-09-30,1972.29,0.00888417423589475,0.00653990341975187,16311.574,108.603,1028,5.4,1,0,1
2014-06-30,1960.23,0.0546644721271972,0.012191196912258,16205.591,108.231,909,5.5,1,0,1
2014-03-31,1872.34,0.00898182469431957,0.0112908621286017,16010.405,107.658,950,6.1,1,0,1
2013-12-31,1848.36,0.0920723539940495,-0.00531257193924586,15831.652,107.301,1034,6.2,1,0,1
2013-09-30,1681.55,0.0472590496052436,0.00863564863182608,15916.208,106.923,863,6.7,1,0,1
2013-06-30,1606.28,0.0308792854126409,0.0111072943476253,15779.938,106.488,831,6.9,1,0,1
2013-03-31,1569.19,0.114394301319852,0.00438589688630923,15606.591,106.204,994,6.9,1,0,1
2012-12-31,1426.19,-0.0308887245789943,0.00678638216547147,15538.441,105.824,976,7.3,1,0,1
2012-09-30,1440.67,0.0879695065106909,0.00015338919153788,15433.702,105.428,847,7.2,1,0,1
2012-06-30,1362.16,-0.0521552614889084,0.00616819681633663,15431.335,104.942,757,7.6,1,0,1
2012-03-31,1408.47,0.11125100964508,0.00403848184558778,15336.735,104.461,695,7.5,1,0,1
2011-12-31,1257.6,0.088703628667247,0.00558199977551406,15275.047,103.917,694,7.9,1,0,1
2011-09-30,1131.42,-0.112959224251323,0.0112578605005516,15190.255,103.768,650,8.4,1,0,1
2011-06-30,1320.64,-0.0149159284035436,0.00210773435235397,15021.149,103.145,608,8.5,1,0,1
2011-03-31,1325.83,0.0562398548648907,0.00727449837887163,14989.555,102.399,600,8.3,1,0,1
2010-12-31,1257.64,0.0966779235058509,-0.00386237339431202,14881.301,101.949,539,8.7,1,1,1
2010-09-30,1141.2,0.101301222418698,0.00630111917059074,14939.001,101.429,594,8.8,1,1,1
2010-06-30,1030.71,-0.111960742479198,0.00674931860873094,14845.458,100.968,536,8.8,1,1,1
