Year,D in Senate,D in House,Senate Control,House Control,President
1967,64,248,1,1,1
1967,64,248,1,1,1
1967,64,248,1,1,1
1967,64,248,1,1,1
1968,64,248,1,1,1
1968,64,248,1,1,1
1968,64,248,1,1,1
1968,64,248,1,1,1
1969,58,243,1,1,0
1969,58,243,1,1,0
1969,58,243,1,1,0
1969,58,243,1,1,0
1970,58,243,1,1,0
1970,58,243,1,1,0
1970,58,243,1,1,0
1970,58,243,1,1,0
1971,54,255,1,1,0
1971,54,255,1,1,0
1971,54,255,1,1,0
1971,54,255,1,1,0
1972,54,255,1,1,0
1972,54,255,1,1,0
1972,54,255,1,1,0
1972,54,255,1,1,0
1973,56,242,1,1,0
1973,56,242,1,1,0
1973,56,242,1,1,0
1973,56,242,1,1,0
1974,56,242,1,1,0
1974,56,242,1,1,0
1974,56,242,1,1,0
1974,56,242,1,1,0
1975,61,291,1,1,0
1975,61,291,1,1,0
1975,61,291,1,1,0
1975,61,291,1,1,0
1976,61,291,1,1,0
1976,61,291,1,1,0
1976,61,291,1,1,0
1976,61,291,1,1,0
1977,61,292,1,1,1
1977,61,292,1,1,1
1977,61,292,1,1,1
1977,61,292,1,1,1
1978,61,292,1,1,1
1978,61,292,1,1,1
1978,61,292,1,1,1
1978,61,292,1,1,1
1979,58,277,1,1,1
1979,58,277,1,1,1
1979,58,277,1,1,1
1979,58,277,1,1,1
1980,58,277,1,1,1
1980,58,277,1,1,1
1980,58,277,1,1,1
1980,58,277,1,1,1
1981,46,242,0,1,1
1981,46,242,0,1,1
1981,46,242,0,1,1
1981,46,242,0,1,1
1982,46,242,0,1,1
1982,46,242,0,1,1
1982,46,242,0,1,1
1982,46,242,0,1,1
1983,46,269,0,1,0
1983,46,269,0,1,0
1983,46,269,0,1,0
1983,46,269,0,1,0
1984,46,269,0,1,0
1984,46,269,0,1,0
1984,46,269,0,1,0
1984,46,269,0,1,0
1985,47,253,0,1,0
1985,47,253,0,1,0
1985,47,253,0,1,0
1985,47,253,0,1,0
1986,47,253,0,1,0
1986,47,253,0,1,0
1986,47,253,0,1,0
1986,47,253,0,1,0
1987,55,258,1,1,0
1987,55,258,1,1,0
1987,55,258,1,1,0
1987,55,258,1,1,0
1988,55,258,1,1,0
1988,55,258,1,1,0
1988,55,258,1,1,0
1988,55,258,1,1,0
1989,55,260,1,1,0
1989,55,260,1,1,0
1989,55,260,1,1,0
1989,55,260,1,1,0
1990,55,260,1,1,0
1990,55,260,1,1,0
1990,55,260,1,1,0
1990,55,260,1,1,0
1991,56,267,1,1,0
1991,56,267,1,1,0
1991,56,267,1,1,0
1991,56,267,1,1,0
1992,56,267,1,1,0
1992,56,267,1,1,0
1992,56,267,1,1,0
1992,56,267,1,1,0
1993,57,258,1,1,1
1993,57,258,1,1,1
1993,57,258,1,1,1
1993,57,258,1,1,1
1994,57,258,1,1,1
1994,57,258,1,1,1
1994,57,258,1,1,1
1994,57,258,1,1,1
1995,48,204,0,0,1
1995,48,204,0,0,1
1995,48,204,0,0,1
1995,48,204,0,0,1
1996,48,204,0,0,1
1996,48,204,0,0,1
1996,48,204,0,0,1
1996,48,204,0,0,1
1997,45,207,0,0,1
1997,45,207,0,0,1
1997,45,207,0,0,1
1997,45,207,0,0,1
1998,45,207,0,0,1
1998,45,207,0,0,1
1998,45,207,0,0,1
1998,45,207,0,0,1
1999,45,211,0,0,1
1999,45,211,0,0,1
1999,45,211,0,0,1
1999,45,211,0,0,1
2000,45,211,0,0,0
2000,45,211,0,0,0
2000,45,211,0,0,0
2000,45,211,0,0,0
2001,50,212,1,0,0
2001,50,212,1,0,0
2001,50,212,1,0,0
2001,50,212,1,0,0
2002,50,212,1,0,0
2002,50,212,1,0,0
2002,50,212,1,0,0
2002,50,212,1,0,0
2003,48,205,0,0,0
2003,48,205,0,0,0
2003,48,205,0,0,0
2003,48,205,0,0,0
2004,48,205,0,0,0
2004,48,205,0,0,0
2004,48,205,0,0,0
2004,48,205,0,0,0
2005,44,202,0,0,0
2005,44,202,0,0,0
2005,44,202,0,0,0
2005,44,202,0,0,0
2006,44,202,0,0,0
2006,44,202,0,0,0
2006,44,202,0,0,0
2006,44,202,0,0,0
2007,49,233,1,1,0
2007,49,233,1,1,0
2007,49,233,1,1,0
2007,49,233,1,1,0
2008,49,233,1,1,0
2008,49,233,1,1,0
2008,49,233,1,1,0
2008,49,233,1,1,0
2009,57,256,1,1,1
2009,57,256,1,1,1
2009,57,256,1,1,1
2009,57,256,1,1,1
2010,57,256,1,1,1
2010,57,256,1,1,1
2010,57,256,1,1,1
2010,57,256,1,1,1
2011,51,193,1,0,1
2011,51,193,1,0,1
2011,51,193,1,0,1
2011,51,193,1,0,1
2012,51,193,1,0,1
2012,51,193,1,0,1
2012,51,193,1,0,1
2012,51,193,1,0,1
2013,54,201,1,0,1
2013,54,201,1,0,1
2013,54,201,1,0,1
2013,54,201,1,0,1
2014,54,201,1,0,1
2014,54,201,1,0,1
2014,54,201,1,0,1
2014,54,201,1,0,1
