year,pop
1969,201174393
1970,204000516
1971,206828807
1972,209285932
1973,211360076
1974,213343781
1975,215467343
1976,217564456
1977,219762076
1978,222097267
1979,224569951
1980,227225630
1981,229466193
1982,231664909
1983,233792500
1984,235825352
1985,237924112
1986,240133268
1987,242289534
1988,244499568
1989,246819625
1990,249622597
1991,252980726
1992,256514010
1993,259918381
1994,263125617
1995,266278190
1996,269394083
1997,272646723
1998,275853905
1999,279039970
2000,282162213
2001,284968731
2002,287625003
2003,290107716
2004,292805085
2005,295516363
2006,298379670
2007,301230959
2008,304093710
2009,306771273
2010,309325997
2011,311587582
2012,313913811
